id_livro,categoria,titulo,resumo
23,Romance,O Amor em Fuga,O Amor em Fuga é um romance que aborda a temática da paixão e da perda
63,Ficção Científica,O Portal do Tempo,O Portal do Tempo é uma jornada incrível pela história e pela magia
83,Aventura,A Ilha Perdida,A Ilha Perdida é uma aventura que mistura realidade e fantasia de forma cativante
74,Biografia,Vidas Cruzadas,Vidas Cruzadas é um conto que explora as consequências do destino
21,Romance,O Segredo da Noite,O Segredo da Noite é um thriller que te deixa às vezes sem respirar
86,História,A Batalha dos Deuses,A Batalha dos Deuses é um épico que transporta você para um mundo de mitologia
98,Filosofia,O Viajante do Tempo,O Viajante do Tempo é uma história que te faz pensar sobre as escolhas da vida
43,Poesia,A Menina da Lua,A Menina da Lua é um conto de fadas que te leva a um mundo de sonhos
29,Crítica Literária,O Labirinto das Almas,O Labirinto das Almas é um romance que explora as profundezas da psique humana
44,Ficção Científica,A Estrela de Fogo,A Estrela de Fogo é uma história de amor que te lembra das coisas que realmente importam
